id,timestamp,full_sq,life_sq,floor,state,max_floor,material,build_year,num_room,kitch_sq,full_all,sub_area,price_doc
29702,2015-05-14,39,,14.0,,0.0,1.0,,1.0,0.0,37502,Sviblovo,8159000
22093,2014-09-01,41,41.0,12.0,1.0,13.0,1.0,2014.0,1.0,1.0,9553,Poselenie Voskresenskoe,4631820
22378,2014-09-10,68,34.0,10.0,4.0,20.0,4.0,2008.0,2.0,14.0,130229,Moskvorech'e-Saburovo,12200000
11514,2013-10-24,34,19.0,5.0,3.0,14.0,5.0,1971.0,1.0,9.0,112221,Chertanovo Juzhnoe,5700000
21955,2014-08-27,32,18.0,9.0,,9.0,1.0,1978.0,1.0,6.0,61396,Otradnoe,5500000
16757,2014-03-31,43,29.0,5.0,3.0,5.0,2.0,1960.0,2.0,5.0,57999,Presnenskoe,9200000
18509,2014-05-16,39,23.0,8.0,3.0,12.0,5.0,1964.0,2.0,6.0,57999,Presnenskoe,9500000
11218,2013-10-14,77,,3.0,,25.0,1.0,,3.0,1.0,7341,Poselenie Moskovskij,7071250
21132,2014-07-28,45,29.0,3.0,3.0,5.0,1.0,1966.0,2.0,5.0,1362363,Akademicheskoe,7900000
26244,2014-12-11,109,50.0,5.0,1.0,40.0,4.0,2012.0,2.0,24.0,1362363,Akademicheskoe,22630000
25647,2014-12-02,39,22.0,2.0,,12.0,5.0,1974.0,2.0,6.0,111023,Ochakovo-Matveevskoe,7200000
28079,2015-02-25,66,36.0,11.0,1.0,17.0,2.0,2014.0,2.0,16.0,13890,Poselenie Sosenskoe,4473000
27506,2015-01-26,44,30.0,3.0,3.0,5.0,2.0,1961.0,2.0,5.0,153248,Kotlovka,7300000
25229,2014-11-25,79,79.0,14.0,1.0,17.0,1.0,0.0,3.0,1.0,247469,Nekrasovka,8333550
21884,2014-08-26,32,20.0,2.0,2.0,5.0,5.0,1964.0,1.0,5.0,103746,Metrogorodok,5000000
4108,2012-10-09,74,74.0,16.0,,,,,,,247469,Nekrasovka,6255627
23293,2014-10-06,61,,14.0,,17.0,1.0,2014.0,2.0,1.0,116742,Tverskoe,6973392
18527,2014-05-16,133,79.0,5.0,1.0,18.0,6.0,2012.0,4.0,14.0,73007,Begovoe,7000000
18914,2014-05-26,50,30.0,2.0,,12.0,1.0,2000.0,2.0,8.0,102618,Juzhnoe Butovo,7450000
21593,2014-08-18,34,34.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,8384,Poselenie Novofedorovskoe,2394300
12651,2013-11-29,57,40.0,10.0,,10.0,1.0,1969.0,3.0,6.0,1318695,Vyhino-Zhulebino,7000000
24122,2014-10-29,25,14.0,7.0,2.0,9.0,1.0,1972.0,1.0,5.0,104410,Veshnjaki,4750000
8090,2013-05-23,42,42.0,9.0,,,,,,,221709,Krjukovo,4389000
19674,2014-06-16,34,31.0,14.0,3.0,1.0,4.0,2016.0,1.0,1.0,21155,Mitino,6480273
16390,2014-03-22,84,59.0,6.0,,8.0,2.0,1959.0,3.0,8.0,64317,Lomonosovskoe,20000000
22655,2014-09-18,34,19.0,11.0,3.0,16.0,1.0,1975.0,1.0,9.0,145088,Birjulevo Zapadnoe,5450000
10997,2013-10-04,54,32.0,6.0,2.0,14.0,1.0,1993.0,2.0,8.0,221709,Krjukovo,6630000
16429,2014-03-24,97,69.0,2.0,2.0,5.0,2.0,1957.0,4.0,7.0,85083,Sokolinaja Gora,12500000
18666,2014-05-20,38,19.0,7.0,3.0,17.0,1.0,1987.0,1.0,8.0,129207,Orehovo-Borisovo Juzhnoe,6500000
12417,2013-11-22,49,28.0,1.0,,9.0,1.0,1977.0,2.0,9.0,27992,Juzhnoe Medvedkovo,7600000
18098,2014-05-05,42,28.0,4.0,2.0,9.0,1.0,1968.0,2.0,6.0,53786,Severnoe Tushino,7200000
14615,2014-02-05,51,30.0,3.0,2.0,17.0,1.0,2008.0,2.0,9.0,55125,Babushkinskoe,3127850
24111,2014-10-29,54,31.0,14.0,3.0,16.0,1.0,1979.0,2.0,8.0,68630,Lianozovo,9750000
17767,2014-04-23,58,34.0,1.0,2.0,2.0,1.0,1992.0,10.0,10.0,221709,Krjukovo,6000000
14717,2014-02-07,44,27.0,2.0,2.0,9.0,2.0,1969.0,2.0,5.0,101982,Tekstil'shhiki,6450000
28306,2015-03-11,49,29.0,1.0,2.0,12.0,2.0,1971.0,2.0,7.0,78810,Koptevo,8550000
18153,2014-05-06,36,20.0,3.0,3.0,12.0,5.0,1967.0,1.0,9.0,115352,Nagornoe,6870000
12544,2013-11-27,39,,4.0,1.0,12.0,1.0,2013.0,2.0,1.0,2942,Poselenie Filimonkovskoe,4033260
15670,2014-03-04,79,47.0,8.0,2.0,17.0,1.0,2000.0,3.0,10.0,80791,Horoshevskoe,18900000
22582,2014-09-16,80,1.0,16.0,3.0,1.0,6.0,2015.0,3.0,1.0,21155,Mitino,11125983
8512,2013-06-14,33,15.0,12.0,2.0,14.0,1.0,2003.0,1.0,7.0,102618,Juzhnoe Butovo,5300000
24634,2014-11-12,47,31.0,9.0,2.0,12.0,1.0,1969.0,2.0,8.0,78418,Altuf'evskoe,7000000
7785,2013-05-06,30,17.0,5.0,,,,,,,61039,Ramenki,7300000
20551,2014-07-03,38,19.0,11.0,3.0,17.0,1.0,2006.0,1.0,7.0,41504,Beskudnikovskoe,6400000
2311,2012-05-28,44,27.0,5.0,,,,,,,178264,Jasenevo,990000
14018,2014-01-22,52,31.0,7.0,3.0,12.0,5.0,1981.0,2.0,9.0,219609,Kapotnja,6600000
14640,2014-02-06,62,36.0,1.0,,5.0,2.0,1956.0,2.0,7.0,111023,Ochakovo-Matveevskoe,8500000
21049,2014-07-23,51,51.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,17790,Poselenie Vnukovskoe,6168965
25862,2014-12-05,74,74.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,247469,Nekrasovka,7419500
28893,2015-04-05,35,19.0,11.0,3.0,12.0,5.0,1967.0,1.0,9.0,87713,Zapadnoe Degunino,6150000
24928,2014-11-19,46,30.0,9.0,2.0,9.0,1.0,1975.0,2.0,6.0,111874,Chertanovo Central'noe,7300000
22710,2014-09-19,32,32.0,8.0,3.0,9.0,1.0,1972.0,1.0,1.0,112221,Chertanovo Juzhnoe,5630000
22508,2014-09-15,62,22.0,18.0,3.0,19.0,2.0,2010.0,1.0,12.0,122862,Izmajlovo,4517245
29295,2015-04-21,47,30.0,3.0,3.0,12.0,1.0,1972.0,2.0,6.0,125354,Chertanovo Severnoe,8800000
20724,2014-07-10,30,17.0,1.0,3.0,5.0,1.0,1966.0,1.0,5.0,57405,Preobrazhenskoe,1000000
21295,2014-08-05,51,30.0,4.0,2.0,14.0,1.0,1995.0,2.0,8.0,165727,Mar'ino,3000000
11445,2013-10-22,82,54.0,6.0,3.0,8.0,1.0,1960.0,3.0,10.0,1100773,Ajeroport,19500000
26247,2014-12-11,63,30.0,4.0,1.0,4.0,1.0,2015.0,2.0,12.0,9553,Poselenie Voskresenskoe,6570520
13077,2013-12-12,88,,13.0,,22.0,6.0,,2.0,1.0,7341,Poselenie Moskovskij,9880696
19891,2014-06-20,31,21.0,1.0,2.0,9.0,5.0,1965.0,1.0,5.0,1318695,Vyhino-Zhulebino,4950000
26013,2014-12-08,73,73.0,12.0,1.0,17.0,1.0,2016.0,2.0,1.0,13890,Poselenie Sosenskoe,7375220
17471,2014-04-16,76,45.0,9.0,3.0,17.0,1.0,1987.0,3.0,10.0,94561,Novokosino,10300000
13791,2014-01-16,42,27.0,1.0,,5.0,2.0,1964.0,2.0,5.0,1362363,Akademicheskoe,7000000
488,2011-11-28,68,30.0,7.0,,,,,,,76156,Nagatino-Sadovniki,13186113
14251,2014-01-28,72,,23.0,,25.0,1.0,,2.0,0.0,247469,Nekrasovka,6906500
20985,2014-07-21,39,22.0,8.0,3.0,12.0,5.0,1971.0,2.0,6.0,155427,Horoshevo-Mnevniki,8770000
26803,2014-12-18,50,34.0,9.0,2.0,9.0,1.0,1969.0,3.0,6.0,60315,Severnoe Medvedkovo,9200000
17222,2014-04-10,51,30.0,4.0,3.0,17.0,1.0,1988.0,2.0,8.0,130229,Moskvorech'e-Saburovo,9150000
17454,2014-04-15,32,21.0,6.0,2.0,9.0,5.0,1964.0,1.0,5.0,1452550,Bogorodskoe,5250000
26843,2014-12-19,41,20.0,12.0,3.0,14.0,1.0,1985.0,1.0,8.0,156377,Strogino,8000000
26262,2014-12-11,35,18.0,3.0,2.0,4.0,2.0,1958.0,1.0,8.0,142462,Mozhajskoe,5900000
8445,2013-06-11,39,21.0,8.0,,,,,,,1716730,Birjulevo Vostochnoe,5400000
11818,2013-11-05,67,30.0,9.0,1.0,22.0,4.0,2006.0,2.0,10.0,78507,Kuncevo,13100000
20455,2014-06-30,41,20.0,4.0,3.0,14.0,1.0,1985.0,1.0,8.0,85721,Brateevo,6800000
29217,2015-04-18,35,19.0,1.0,2.0,14.0,1.0,1975.0,1.0,9.0,111023,Ochakovo-Matveevskoe,5300000
30361,2015-06-22,38,16.0,2.0,3.0,14.0,2.0,1977.0,1.0,9.0,73148,Vojkovskoe,7500000
169,2011-10-20,47,31.0,3.0,,,,,,,111023,Ochakovo-Matveevskoe,6500000
22941,2014-09-26,46,28.0,6.0,3.0,9.0,1.0,1973.0,2.0,6.0,77878,Orehovo-Borisovo Severnoe,7800000
14628,2014-02-05,89,48.0,12.0,1.0,25.0,2.0,2012.0,2.0,14.0,7341,Poselenie Moskovskij,4985156
9250,2013-07-16,73,45.0,17.0,2.0,17.0,1.0,1994.0,3.0,9.0,112221,Chertanovo Juzhnoe,11000000
19817,2014-06-19,53,50.0,2.0,3.0,12.0,5.0,1973.0,2.0,9.0,1318695,Vyhino-Zhulebino,7450000
26543,2014-12-16,33,18.0,4.0,3.0,9.0,1.0,1969.0,1.0,6.0,125354,Chertanovo Severnoe,6500000
11255,2013-10-15,56,40.0,2.0,,5.0,2.0,1966.0,3.0,5.0,78616,Severnoe Butovo,1200000
29772,2015-05-18,74,,14.0,1.0,22.0,4.0,2015.0,2.0,1.0,115352,Nagornoe,13149382
28078,2015-02-25,79,45.0,5.0,3.0,17.0,1.0,2003.0,3.0,12.0,89971,Ljublino,3000000
25967,2014-12-08,45,45.0,2.0,1.0,10.0,4.0,2016.0,2.0,10.0,80791,Horoshevskoe,6979860
12752,2013-12-03,28,15.0,3.0,3.0,5.0,2.0,1965.0,1.0,5.0,153248,Kotlovka,5300000
29561,2015-05-06,35,19.0,9.0,3.0,16.0,1.0,1976.0,1.0,8.0,86206,Bibirevo,2000000
30021,2015-05-28,64,64.0,6.0,1.0,9.0,1.0,0.0,2.0,1.0,17790,Poselenie Vnukovskoe,8474131
24876,2014-11-18,77,77.0,13.0,1.0,17.0,1.0,2014.0,3.0,1.0,17790,Poselenie Vnukovskoe,8279966
19818,2014-06-19,57,42.0,2.0,3.0,9.0,2.0,1968.0,3.0,5.0,111023,Ochakovo-Matveevskoe,11150000
27034,2014-12-22,37,19.0,10.0,2.0,16.0,5.0,1983.0,1.0,9.0,94564,Golovinskoe,2000000
23953,2014-10-25,36,20.0,12.0,2.0,12.0,5.0,1965.0,1.0,9.0,142462,Mozhajskoe,5500000
17179,2014-04-09,45,28.0,4.0,3.0,12.0,1.0,1966.0,2.0,5.0,76670,Zjuzino,7700000
17009,2014-04-04,47,27.0,7.0,2.0,9.0,1.0,1973.0,2.0,6.0,157010,Ivanovskoe,6400000
30111,2015-06-03,54,28.0,12.0,3.0,16.0,1.0,1974.0,2.0,11.0,90114,Teplyj Stan,9500000
6240,2013-03-04,80,47.0,3.0,,,,,,,1100773,Ajeroport,4566666
26511,2014-12-16,83,46.0,7.0,2.0,17.0,1.0,2003.0,3.0,10.0,165727,Mar'ino,12300000
9202,2013-07-15,87,50.0,14.0,3.0,16.0,1.0,1999.0,3.0,12.0,21155,Mitino,14500000
9337,2013-07-18,62,32.0,4.0,2.0,12.0,1.0,2005.0,2.0,12.0,102828,Kosino-Uhtomskoe,9000000
13996,2014-01-22,37,19.0,15.0,3.0,17.0,1.0,2010.0,1.0,7.0,61396,Otradnoe,4268000
12675,2013-12-02,43,32.0,3.0,2.0,5.0,2.0,1960.0,2.0,5.0,102726,Jakimanka,8400000
29110,2015-04-14,34,34.0,2.0,1.0,5.0,6.0,2016.0,1.0,12.0,8384,Poselenie Novofedorovskoe,2221760
22786,2014-09-23,73,43.0,2.0,2.0,22.0,1.0,1990.0,3.0,10.0,65972,Ostankinskoe,14400000
17908,2014-04-26,38,19.0,15.0,3.0,17.0,1.0,2002.0,1.0,7.0,78616,Severnoe Butovo,7900000
26020,2014-12-08,46,,2.0,,17.0,1.0,2014.0,1.0,1.0,116742,Tverskoe,5347960
21292,2014-08-05,54,27.0,2.0,3.0,16.0,5.0,1975.0,2.0,11.0,32071,Staroe Krjukovo,7000000
2403,2012-06-05,46,28.0,12.0,,,,,,,123280,Taganskoe,1350000
15391,2014-02-25,62,38.0,1.0,1.0,9.0,1.0,1969.0,3.0,8.0,57405,Preobrazhenskoe,8400000
26996,2014-12-21,62,33.0,11.0,3.0,14.0,1.0,2006.0,2.0,11.0,102828,Kosino-Uhtomskoe,9150000
21438,2014-08-12,110,55.0,3.0,3.0,22.0,1.0,2007.0,3.0,17.0,89467,Fili Davydkovo,25400000
10378,2013-09-10,45,,1.0,1.0,1.0,1.0,,1.0,1.0,17790,Poselenie Vnukovskoe,4210817
3308,2012-08-23,45,,11.0,,,,,,,13890,Poselenie Sosenskoe,3809700
9681,2013-08-07,85,54.0,4.0,3.0,12.0,1.0,2001.0,3.0,10.0,28179,Basmannoe,16000000
15520,2014-02-27,107,107.0,10.0,1.0,10.0,6.0,2015.0,3.0,0.0,61039,Ramenki,17471400
21464,2014-08-12,39,20.0,1.0,2.0,12.0,1.0,1979.0,1.0,8.0,61396,Otradnoe,990000
24090,2014-10-29,138,89.0,3.0,4.0,3.0,2.0,2013.0,1.0,42.0,5740,Poselenie Pervomajskoe,5490000
12733,2013-12-03,45,30.0,4.0,,12.0,1.0,1972.0,2.0,6.0,1716730,Birjulevo Vostochnoe,3000000
25170,2014-11-24,34,27.0,6.0,3.0,12.0,1.0,1982.0,1.0,7.0,19940,Nizhegorodskoe,6640000
17701,2014-04-22,66,39.0,5.0,2.0,12.0,1.0,1975.0,3.0,8.0,86206,Bibirevo,10000000
28837,2015-04-02,33,17.0,5.0,2.0,5.0,2.0,1950.0,1.0,7.0,142243,Lefortovo,6550000
13312,2013-12-21,53,28.0,15.0,3.0,23.0,6.0,2007.0,2.0,8.0,61039,Ramenki,13800000
20914,2014-07-16,54,32.0,8.0,2.0,17.0,1.0,1997.0,2.0,9.0,21155,Mitino,8250000
21600,2014-08-18,39,26.0,9.0,3.0,5.0,2.0,1965.0,2.0,5.0,1452550,Bogorodskoe,7800000
27832,2015-02-10,42,28.0,7.0,2.0,9.0,1.0,1968.0,2.0,5.0,81887,Hovrino,7400000
27226,2014-12-31,38,20.0,6.0,2.0,22.0,1.0,2007.0,1.0,10.0,122873,Severnoe,6250000
8202,2013-05-29,82,76.0,5.0,,,,,,,21155,Mitino,11478846
22339,2014-09-09,37,18.0,7.0,3.0,22.0,1.0,2001.0,1.0,10.0,123000,Kon'kovo,8500000
24826,2014-11-17,30,17.0,2.0,3.0,5.0,1.0,1966.0,1.0,5.0,72131,Novogireevo,5450000
26214,2014-12-10,33,17.0,5.0,3.0,5.0,2.0,2005.0,1.0,6.0,4949,Poselenie Marushkinskoe,3600000
20261,2014-06-27,37,37.0,7.0,1.0,15.0,1.0,2015.0,1.0,37.0,39873,Poselenie Shherbinka,3140280
22914,2014-09-25,85,,5.0,1.0,17.0,1.0,,3.0,1.0,17790,Poselenie Vnukovskoe,9349748
18635,2014-05-20,41,20.0,9.0,3.0,12.0,1.0,1983.0,1.0,8.0,27992,Juzhnoe Medvedkovo,6700000
11502,2013-10-23,86,70.0,37.0,1.0,38.0,4.0,2011.0,1.0,0.0,80791,Horoshevskoe,9366623
21311,2014-08-06,62,62.0,23.0,1.0,24.0,1.0,2014.0,2.0,10.0,17790,Poselenie Vnukovskoe,7551312
21911,2014-08-26,60,42.0,10.0,2.0,12.0,5.0,1974.0,3.0,6.0,123280,Taganskoe,10500000
6341,2013-03-06,89,,9.0,,,,,,,178473,Pokrovskoe Streshnevo,12864950
19069,2014-05-29,36,19.0,8.0,3.0,17.0,1.0,2002.0,1.0,6.0,130396,Cheremushki,10000000
23624,2014-10-16,33,19.0,1.0,3.0,9.0,1.0,1971.0,1.0,6.0,104410,Veshnjaki,5000000
14059,2014-01-23,84,49.0,4.0,2.0,6.0,2.0,1951.0,3.0,11.0,101708,Juzhnoportovoe,14200000
28127,2015-02-27,80,45.0,3.0,3.0,25.0,1.0,1981.0,3.0,10.0,116742,Tverskoe,13500000
19207,2014-05-31,81,81.0,8.0,2.0,10.0,2.0,1955.0,4.0,11.0,26943,Mar'ina Roshha,15200000
20548,2014-07-03,33,18.0,5.0,2.0,3.0,2.0,1960.0,1.0,6.0,87713,Zapadnoe Degunino,5100000
9181,2013-07-12,38,19.0,14.0,,,,,,,89971,Ljublino,5900000
25763,2014-12-03,55,32.0,5.0,3.0,14.0,2.0,1970.0,2.0,8.0,55125,Babushkinskoe,10750000
8484,2013-06-13,31,30.0,9.0,,,,,,,57999,Presnenskoe,1000000
14940,2014-02-12,75,44.0,2.0,,17.0,1.0,1985.0,3.0,10.0,113897,Troparevo-Nikulino,13600000
18829,2014-05-23,37,22.0,9.0,3.0,9.0,5.0,1961.0,2.0,7.0,108171,Zamoskvorech'e,9300000
15724,2014-03-05,53,30.0,9.0,2.0,12.0,1.0,1974.0,2.0,8.0,86206,Bibirevo,8400000
6936,2013-04-01,54,53.0,2.0,,,,,,,19940,Nizhegorodskoe,5700000
20504,2014-07-01,38,20.0,1.0,,14.0,1.0,2002.0,1.0,8.0,86206,Bibirevo,5850000
10813,2013-09-27,17,13.0,5.0,1.0,5.0,2.0,1961.0,1.0,0.0,85083,Sokolinaja Gora,3000000
23422,2014-10-09,66,44.0,10.0,3.0,12.0,5.0,1969.0,3.0,9.0,94564,Golovinskoe,2000000
21108,2014-07-26,58,43.0,4.0,2.0,5.0,5.0,1962.0,3.0,5.0,26943,Mar'ina Roshha,9500000
12516,2013-11-26,45,28.0,4.0,2.0,14.0,5.0,1973.0,2.0,5.0,43795,Pechatniki,6400000
10384,2013-09-10,39,18.0,12.0,2.0,14.0,2.0,1974.0,1.0,8.0,178473,Pokrovskoe Streshnevo,6650000
15310,2014-02-21,34,19.0,4.0,1.0,9.0,1.0,1973.0,1.0,8.0,90114,Teplyj Stan,6300000
20415,2014-06-30,63,44.0,3.0,2.0,9.0,1.0,1969.0,3.0,7.0,123000,Kon'kovo,10400000
17402,2014-04-15,32,18.0,6.0,3.0,9.0,1.0,1970.0,1.0,6.0,79576,Losinoostrovskoe,5300000
20026,2014-06-24,63,38.0,8.0,,9.0,1.0,1977.0,3.0,8.0,27992,Juzhnoe Medvedkovo,11900000
28467,2015-03-19,79,,15.0,,17.0,1.0,,3.0,1.0,17790,Poselenie Vnukovskoe,8354856
21472,2014-08-13,41,20.0,7.0,2.0,12.0,1.0,1985.0,1.0,8.0,36154,Perovo,6050000
13529,2013-12-30,72,41.0,9.0,3.0,12.0,1.0,1981.0,3.0,9.0,38075,Silino,4000000
13058,2013-12-12,54,34.0,4.0,,4.0,2.0,1956.0,2.0,8.0,91100,Donskoe,2000000
24269,2014-10-31,51,31.0,14.0,2.0,17.0,1.0,1991.0,2.0,8.0,165727,Mar'ino,8900000
15336,2014-02-24,37,17.0,15.0,2.0,23.0,1.0,1987.0,1.0,7.0,76284,Nagatinskij Zaton,7000000
19852,2014-06-19,59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,247469,Nekrasovka,6028200
24965,2014-11-19,37,15.0,1.0,3.0,6.0,2.0,1952.0,1.0,6.0,91100,Donskoe,11730000
13024,2013-12-12,31,19.0,5.0,2.0,5.0,2.0,1966.0,1.0,6.0,116742,Tverskoe,7350000
742,2011-12-30,43,28.0,2.0,,,,,,,72131,Novogireevo,5250000
17296,2014-04-11,74,45.0,10.0,3.0,17.0,4.0,1990.0,3.0,10.0,78616,Severnoe Butovo,11400000
5550,2012-12-28,60,60.0,11.0,,,,,,,247469,Nekrasovka,5455000
22255,2014-09-05,84,46.0,6.0,1.0,24.0,4.0,2012.0,2.0,12.0,21155,Mitino,8797000
21396,2014-08-09,32,19.0,8.0,2.0,9.0,1.0,1977.0,1.0,6.0,178264,Jasenevo,5740000
4128,2012-10-10,59,59.0,1.0,,,,,,,7341,Poselenie Moskovskij,4194444
26655,2014-12-17,57,35.0,3.0,2.0,14.0,1.0,2002.0,2.0,8.0,83844,Obruchevskoe,11300000
14546,2014-02-04,55,29.0,12.0,3.0,25.0,1.0,2001.0,2.0,9.0,85721,Brateevo,8800000
11242,2013-10-15,50,29.0,12.0,3.0,14.0,1.0,1987.0,2.0,8.0,94561,Novokosino,8000000
